Image	Length
N1_3_D_006.jpg	2124.3722
S1_2_D_005_Katsuwonus.jpg	2171.7108
S1_2_D_010_Length.jpg	2477.7580
S4_1_D_003_Length.jpg	2461.5410
S4_1_D_004.jpg	2315.3801
S4_1_D_005.jpg	2213.5717
S4_1_D_006.jpg	2307.1388
S4_1_D_008.jpg	2691.8985
S4_1_D_011.jpg	2678.6227
S4_1_D_017.jpg	2324.5232
S4_2_D_005.jpg	2819.9073
S4_3_D_001.jpg	2834.9180
S4_3_D_002.jpg	2098.4618
W4_1_D_002.jpg	3070.0188
W4_1_D_003.jpg	2356.4383
W4_2_D_001b.jpg	1756.5279
W4_2_D_005.jpg	2394.8576
W4_3_D_001b.jpg	2428.0700
W4_3_D_003b.jpg	1991.4253

