Date,Lat. ( N),Long. ( E),T at depth ( C),Sample ID,Morph. ID,Genetic ID,Length (mm),Age (dps)
10/8/22,8.71,134.70,27.86,N1_3_D_006,Thunnus,Thunnus albacares,4.11,5
10/18/22,7.24,133.50,27.99,W4_1_D_002,Thunnus,Thunnus obesus,3.70,4
10/18/22,7.24,133.50,27.99,W4_1_D_003,Thunnus,Thunnus obesus,5.79,9
10/18/22,7.25,133.49,27.92,W4_2_D_001,Thunnus,Thunnus obesus,2.69,1
10/18/22,7.25,133.49,27.92,W4_2_D_005,Thunnus,Thunnus obesus,3.67,4
10/18/22,7.27,133.49,27.01,W4_3_D_001,Thunnus,Thunnus obesus,3.72,4
10/18/22,7.27,133.49,27.01,W4_3_D_003,Katsuwonus,Thunnus obesus,3.85,4
10/21/22,6.04,134.17,26.87,S4_1_D_003,Katsuwonus,Thunnus albacares,3.78,4
10/21/22,6.04,134.17,26.87,S4_1_D_004,Katsuwonus,Thunnus albacares,2.79,1
10/21/22,6.04,134.17,26.87,S4_1_D_005,Auxis,Auxis thazard,2.67,5
10/21/22,6.04,134.17,26.87,S4_1_D_006,Auxis,Auxis thazard,2.78,5
10/21/22,6.04,134.17,26.87,S4_1_D_008,Thunnus,Thunnus obesus,5.21,8
10/21/22,6.04,134.17,26.87,S4_1_D_011,Katsuwonus,Thunnus albacares,4.11,5
10/21/22,6.04,134.17,26.87,S4_1_D_017,Auxis,Auxis thazard,3.57,7
10/21/22,6.04,134.16,26.88,S4_2_D_005,Katsuwonus,Katsuwonus pelamis,3.40,2
10/21/22,6.02,134.15,26.98,S4_3_D_001,Auxis,Auxis thazard,3.42,7
10/21/22,6.02,134.15,26.98,S4_3_D_002,Auxis,Auxis thazard,3.22,6
10/22/22,6.48,133.82,27.96,S1_2_D_005,Katsuwonus,Katsuwonus pelamis,5.34,6
10/22/22,6.48,133.82,27.96,S1_2_D_010,Thunnus,Katsuwonus pelamis,4.79,5
